TimeStamp,TDT5_VWC,TDT6_VWC
2017-01-01 12:00:00+00:00,24.165,21.05
2017-01-02 12:00:00+00:00,23.654,20.298
2017-01-03 12:00:00+00:00,23.07,19.928
2017-01-04 12:00:00+00:00,22.958,19.803
2017-01-05 12:00:00+00:00,22.879,19.637
2017-01-06 12:00:00+00:00,22.762,19.752
2017-01-07 12:00:00+00:00,23.339,20.109
2017-01-08 12:00:00+00:00,23.376,20.23
2017-01-09 12:00:00+00:00,25.354,22.336
2017-01-10 12:00:00+00:00,24.461,21.341
2017-01-11 12:00:00+00:00,23.725,20.536
2017-01-12 12:00:00+00:00,29.296,30.381
2017-01-13 12:00:00+00:00,28.794,28.657
2017-01-14 12:00:00+00:00,24.753,22.39
2017-01-15 12:00:00+00:00,27.634,25.452
2017-01-16 12:00:00+00:00,25.111,22.561
2017-01-17 12:00:00+00:00,24.574,21.976
2017-01-18 12:00:00+00:00,24.384,21.873
2017-01-19 12:00:00+00:00,24.292,21.627
2017-01-20 12:00:00+00:00,24.279,21.613
2017-01-21 12:00:00+00:00,24.224,21.615
2017-01-22 12:00:00+00:00,24.176,21.575
2017-01-23 12:00:00+00:00,24.26,21.484
2017-01-24 12:00:00+00:00,24.519,21.513
2017-01-25 12:00:00+00:00,25.231,21.655
2017-01-26 12:00:00+00:00,25.872,21.888
2017-01-27 12:00:00+00:00,26.069,22.01
2017-01-28 12:00:00+00:00,26.168,22.703
2017-01-29 12:00:00+00:00,29.045,26.909
2017-01-30 12:00:00+00:00,31.521,27.442
2017-01-31 12:00:00+00:00,27.805,24.529
2017-02-01 12:00:00+00:00,44.599,50.797
2017-02-02 12:00:00+00:00,32.966,32.644
2017-02-03 12:00:00+00:00,29.42,27.244
2017-02-04 12:00:00+00:00,28.988,27.478
2017-02-05 12:00:00+00:00,28.868,27.201
2017-02-06 12:00:00+00:00,28.941,27.204
2017-02-07 12:00:00+00:00,33.636,29.048
2017-02-08 12:00:00+00:00,31.871,28.124
2017-02-09 12:00:00+00:00,31.775,27.901
2017-02-10 12:00:00+00:00,32.101,27.867
2017-02-11 12:00:00+00:00,32.279,27.825
2017-02-12 12:00:00+00:00,35.065,29.823
2017-02-13 12:00:00+00:00,33.163,28.656
2017-02-14 12:00:00+00:00,32.85,28.577
2017-02-15 12:00:00+00:00,32.94,28.545
2017-02-16 12:00:00+00:00,33.041,28.491
2017-02-17 12:00:00+00:00,33.036,28.559
2017-02-18 12:00:00+00:00,33.076,28.582
2017-02-19 12:00:00+00:00,33.764,28.784
2017-02-20 12:00:00+00:00,34.01,29.38
2017-02-21 12:00:00+00:00,34.091,29.962
2017-02-22 12:00:00+00:00,37.415,34.471
2017-02-23 12:00:00+00:00,54.487,50.59
2017-02-24 12:00:00+00:00,36.889,34.193
2017-02-25 12:00:00+00:00,35.603,32.532
2017-02-26 12:00:00+00:00,35.525,32.389
2017-02-27 12:00:00+00:00,38.342,37.866
2017-02-28 12:00:00+00:00,38.375,36.801
2017-03-01 12:00:00+00:00,45.125,44.546
2017-03-02 12:00:00+00:00,38.083,35.774
2017-03-03 12:00:00+00:00,37.246,33.96
2017-03-04 12:00:00+00:00,37.385,34.026
2017-03-05 12:00:00+00:00,38.521,35.942
2017-03-06 12:00:00+00:00,38.756,35.495
2017-03-07 12:00:00+00:00,38.119,34.371
2017-03-08 12:00:00+00:00,39.673,38.935
2017-03-09 12:00:00+00:00,39.56,35.676
2017-03-10 12:00:00+00:00,38.434,34.511
2017-03-11 12:00:00+00:00,38.351,34.208
2017-03-12 12:00:00+00:00,38.16,34.166
2017-03-13 12:00:00+00:00,37.993,34.144
2017-03-14 12:00:00+00:00,37.952,34.199
2017-03-15 12:00:00+00:00,37.942,34.092
2017-03-16 12:00:00+00:00,37.886,34.198
2017-03-17 12:00:00+00:00,37.937,34.077
2017-03-18 12:00:00+00:00,37.943,34.088
2017-03-19 12:00:00+00:00,38.086,33.988
2017-03-20 12:00:00+00:00,38.16,33.986
2017-03-21 12:00:00+00:00,38.257,34.205
2017-03-22 12:00:00+00:00,38.228,34.258
2017-03-23 12:00:00+00:00,38.367,34.557
2017-03-24 12:00:00+00:00,38.374,34.583
2017-03-25 12:00:00+00:00,38.596,34.47
2017-03-26 12:00:00+00:00,39.004,34.412
2017-03-27 12:00:00+00:00,39.062,34.305
2017-03-28 12:00:00+00:00,38.93,34.211
2017-03-29 12:00:00+00:00,39.072,34.105
