TimeStamp,TDT6_VWC,LWIN,LWOUT,SWIN,SWOUT,RN,PRECIP,PA,TA,WS,RH,STP_TSOIL20
2016-08-11 12:00:00+00:00,4.546,367.631,410.306,57.517,12.678,2.163,0,1011.478,19.174,3.652,71.984,18.395
2016-08-12 12:00:00+00:00,4.628,348.629,432.888,290.914,64.593,142.062,0,1012.941,20.805,3.832,60.717,18.794
2016-08-13 12:00:00+00:00,4.598,362.808,417.529,184.87,41.012,89.138,0,1012.925,18.623,2.911,66.865,19.255
2016-08-14 12:00:00+00:00,4.594,359.535,408.383,158.87,35.796,74.227,0,1016.657,16.688,2.048,66.649,19.102
2016-08-15 12:00:00+00:00,4.585,320.152,402.225,246.329,56.104,108.153,0,1016.587,15.399,1.942,72.622,18.64
2016-08-16 12:00:00+00:00,4.519,339.317,397.054,148.434,33.78,56.917,0.002,1011.577,14.98,2.175,79.56,18.351
2016-08-17 12:00:00+00:00,4.464,331.562,412.812,266.528,59.094,126.183,0.001,1005.726,16.738,2.236,75.435,18.401
2016-08-18 12:00:00+00:00,4.43,342.215,414.269,236.384,52.349,111.981,0,1002.53,17.346,2.231,75.829,19.038
2016-08-19 12:00:00+00:00,4.305,369.319,397.475,80.419,17.426,34.836,0.01,998.801,15.842,2.793,91.571,18.596
2016-08-20 12:00:00+00:00,4.238,349.733,403.846,182.087,38.715,89.259,0.006,997.867,16.888,5.453,74.438,18.01
2016-08-21 12:00:00+00:00,4.236,371.579,411.423,184.884,38.332,106.708,0.068,1005.851,17.631,4.839,74.349,18.119
2016-08-22 12:00:00+00:00,4.282,378.994,418.488,194.129,38.565,116.07,0.008,1013.397,19.481,4.32,78.491,18.675
2016-08-23 12:00:00+00:00,4.38,354.01,429.262,267.398,54.906,137.24,0,1014.567,20.721,2.688,69.177,19.171
2016-08-24 12:00:00+00:00,4.364,379.369,443.646,231.543,47.215,120.05,0,1009.73,23.028,2.72,69.809,20.241
2016-08-25 12:00:00+00:00,4.341,378.585,434.31,208.354,42.457,110.172,0,1006.559,21.065,2.303,79.922,20.981
2016-08-26 12:00:00+00:00,4.26,356.377,428.019,261.101,53.464,135.995,0.011,1008.876,20.426,2.425,70.971,21.146
2016-08-27 12:00:00+00:00,4.215,368.912,418.683,179.949,37.943,92.235,0,1008.161,18.974,3.039,75.249,20.523
2016-08-28 12:00:00+00:00,4.574,384.888,410.542,112.075,23.15,63.271,0.189,1004.153,17.897,3.143,85.061,19.958
2016-08-29 12:00:00+00:00,5.48,358.167,406.537,231.409,45.539,137.499,0,1012.858,16.75,2.161,75.538,19.5
2016-08-30 12:00:00+00:00,5.337,332.638,409.921,246.209,51.013,117.913,0,1015.586,17.938,2.261,67.94,19.248
2016-08-31 12:00:00+00:00,5.166,340.873,409.812,214.38,44.191,101.25,0,1011.478,18.386,2.64,70.572,19.112
2016-09-01 12:00:00+00:00,5.06,340.783,410.867,210.979,43.401,97.494,0,1013.415,17.887,2.315,68.758,19.213
2016-09-02 12:00:00+00:00,4.906,368.731,402.869,99.643,20.121,45.384,0.004,1009.636,16.887,3.179,81.406,18.806
2016-09-03 12:00:00+00:00,4.841,359.985,402.579,170.294,35.594,92.107,0.132,1006.215,16.201,3.559,84.455,18.443
2016-09-04 12:00:00+00:00,4.684,360.556,401.44,121.752,24.735,56.134,0.008,1002.777,17.172,4.515,75.66,18.271
2016-09-05 12:00:00+00:00,4.711,388.375,404.815,91.82,17.874,57.507,0.003,1010.839,16.554,2.324,90.594,17.925
2016-09-06 12:00:00+00:00,4.716,411.638,425.138,92.935,17.434,62.001,0.004,1014.64,20.59,1.922,89.54,18.93
2016-09-07 12:00:00+00:00,4.775,382.704,419.39,120.335,23.832,59.818,0,1009.885,20.124,1.979,80.31,19.645
2016-09-08 12:00:00+00:00,4.769,337.302,408.344,215.22,44.428,99.75,0,1002.688,18.74,3.154,69.361,19.101
2016-09-09 12:00:00+00:00,4.667,358.185,406.779,144.944,29.99,66.36,0,1006.388,17.887,4.001,77.028,18.456
2016-09-10 12:00:00+00:00,4.571,382.612,405.115,75.467,15.142,37.824,0.025,1004.353,17.848,3.965,85.803,18.457
2016-09-11 12:00:00+00:00,4.602,319.829,393.533,227.39,47.987,105.699,0,1008.116,14.958,2.163,75.466,18.033
2016-09-12 12:00:00+00:00,4.636,355.317,413.875,194.071,40.007,95.506,0,1005.313,19.306,2.469,73.415,18.012
2016-09-13 12:00:00+00:00,4.618,375.804,432.287,178.121,36.894,84.743,0,1002.494,23.018,2.455,69.795,18.972
2016-09-14 12:00:00+00:00,4.631,365.675,426.379,197.476,41.74,95.032,0,1002.685,22.196,2.449,70.611,19.603
2016-09-15 12:00:00+00:00,4.57,360.523,424.394,171.619,36.68,71.068,0,1001.369,21.373,3,70.671,19.539
2016-09-16 12:00:00+00:00,4.659,380.244,391.746,16.109,3.373,1.234,0.571,1002.491,15.185,4.523,91.738,18.838
2016-09-17 12:00:00+00:00,4.35,381.238,391.769,61.728,12.12,39.077,0.029,1009.458,14.772,5.646,94.71,17.208
2016-09-18 12:00:00+00:00,4.224,363.408,397.85,128.064,25.378,68.244,0,1012.049,15.93,2.916,86.895,17.617
2016-09-19 12:00:00+00:00,4.333,353.919,395.969,134.856,28.088,64.718,0.01,1012.521,15.575,1.879,85.977,17.44
2016-09-20 12:00:00+00:00,4.315,373.177,394.792,84.508,16.782,46.112,0,1011.337,15.108,2.013,90.834,17.651
2016-09-21 12:00:00+00:00,4.395,350.198,392.84,106.591,22.354,41.595,0,1009.876,15.554,2.006,84.068,17.486
2016-09-22 12:00:00+00:00,4.529,347.904,392.642,112.624,23.279,44.607,0,1010.321,15.754,2.216,78.237,17.142
2016-09-23 12:00:00+00:00,4.602,302.167,379.921,182.795,40.227,64.814,0,1015.057,13.4,2.457,67.355,16.644
2016-09-24 12:00:00+00:00,4.674,325.621,395.544,167.492,37.609,59.96,0.001,1009.222,16.789,4.182,69.714,16.188
2016-09-25 12:00:00+00:00,4.63,334.713,389.802,116.515,25.745,35.681,0,1005.787,16.191,4.04,66.394,16.469
2016-09-26 12:00:00+00:00,4.712,326.442,370.685,86.109,18.473,23.392,0.015,1013.581,12.531,2.067,80.262,15.494
2016-09-27 12:00:00+00:00,4.731,350.131,391.219,95.876,20.651,34.138,0.005,1013.758,15.856,3.774,83.196,15.371
2016-09-28 12:00:00+00:00,4.734,347.925,402.21,147.233,32.003,60.944,0,1013.226,17.154,4.854,79.605,15.979
2016-09-29 12:00:00+00:00,4.676,361.09,396.465,94.551,20.511,38.665,0.008,1004.891,16.495,5.152,73.597,16.552
2016-09-30 12:00:00+00:00,4.716,320.185,378.44,140.296,32.091,49.951,0,1003.143,13.296,3.279,71.934,15.753
2016-10-01 12:00:00+00:00,4.745,338.9,369.721,87.396,19.545,37.031,0.096,997.767,11.308,1.826,88.411,15.148
2016-10-02 12:00:00+00:00,4.754,313.131,367.852,134.365,30.33,49.314,0.019,1006.448,10.964,4.086,84.254,14.616
2016-10-03 12:00:00+00:00,4.764,298.66,368.581,156.973,35.602,51.451,0.002,1019.807,11.376,2.315,84.386,13.871
2016-10-04 12:00:00+00:00,4.73,330.646,381.625,122.882,27.517,44.386,0,1022.909,14.083,3.226,76.937,14.079
2016-10-05 12:00:00+00:00,4.712,312.862,376.215,129.951,30.872,35.726,0,1022.721,12.973,4.103,64.224,14.212
2016-10-06 12:00:00+00:00,4.75,335.269,374.573,102.807,23.512,39.991,0,1017.432,12.244,3.585,61.933,13.667
2016-10-07 12:00:00+00:00,4.769,365.05,377.923,33.268,7.419,12.976,0.008,1014.192,12.799,2.441,81.784,13.739
2016-10-08 12:00:00+00:00,4.7,348.367,373.742,59.916,13.169,21.372,0,1016.927,11.952,2.445,86.698,13.944
2016-10-09 12:00:00+00:00,4.716,311.3,363.902,96.616,22.456,21.558,0,1018.61,10.15,2.973,80.381,13.563
2016-10-10 12:00:00+00:00,4.735,296.398,354.25,94.893,22.277,14.764,0.004,1016.499,8.234,3.209,88.679,12.891
2016-10-11 12:00:00+00:00,4.728,315.254,359.483,95.469,21.772,29.467,0.001,1014.012,9.428,2.121,86.681,12.459
2016-10-12 12:00:00+00:00,4.708,333.671,367.15,89.554,20.342,35.733,0.036,1011.954,10.726,2.916,86.312,12.711
2016-10-13 12:00:00+00:00,4.692,334.706,361.194,48.539,10.992,11.059,0.008,1005.119,9.979,3.055,77.071,12.416
2016-10-14 12:00:00+00:00,4.676,331.229,361.942,51.29,11.783,8.794,0,998.123,10.239,2.386,81.763,12.112
2016-10-15 12:00:00+00:00,4.64,350.483,374.471,63.854,14.716,25.151,0.081,998.668,11.961,2.799,87.65,12.534
2016-10-16 12:00:00+00:00,4.608,330.26,374.281,67.124,15.421,7.682,0.023,1004.625,12.751,3.817,89.965,12.706
2016-10-17 12:00:00+00:00,4.619,318.312,371.754,102.291,23.669,25.181,0.004,1009.045,12.356,3.039,84.673,12.831
2016-10-18 12:00:00+00:00,4.698,314.65,359.11,69.635,16.283,8.891,0.09,1008.973,9.487,4.032,83.524,12.333
2016-10-19 12:00:00+00:00,4.684,337.954,364.646,73.592,16.468,30.433,0.009,1009.931,10.169,5.308,85.97,11.855
2016-10-20 12:00:00+00:00,4.689,331.104,364.085,63.917,14.212,16.724,0.013,1010.567,10.27,4.692,89.487,11.971
2016-10-21 12:00:00+00:00,4.699,315.188,360.867,60.09,13.38,1.031,0,1009.792,9.457,3.879,92.695,11.838
2016-10-22 12:00:00+00:00,4.712,305.023,356.39,83.603,18.371,13.866,0.002,1007.055,8.827,2.78,89.013,11.532
2016-10-23 12:00:00+00:00,4.729,314.019,353.812,66,14.949,11.257,0,1003.836,8.465,2.54,85.549,11.234
2016-10-24 12:00:00+00:00,4.716,321.381,356.238,46.468,10.158,1.455,0,1004.999,9.102,2.336,83.426,11.095
2016-10-25 12:00:00+00:00,4.74,319.94,358.935,76.525,16.723,20.806,0,1014.003,9.532,1.235,86.15,10.943
2016-10-26 12:00:00+00:00,4.712,331.238,365.14,52.875,11.347,7.626,0,1018.787,10.981,2.632,91.585,11.366
2016-10-27 12:00:00+00:00,4.695,325.888,365.975,72.546,15.262,17.197,0,1021.684,10.505,3.521,90.145,11.547
2016-10-28 12:00:00+00:00,4.688,346.635,373.506,40.828,8.282,5.675,0,1023.923,12.475,2.822,87.063,11.783
2016-10-29 12:00:00+00:00,4.671,352.09,379.206,59.992,11.885,20.991,0,1025.388,12.867,1.078,90.668,12.267
2016-10-30 12:00:00+00:00,4.708,357.771,369.91,42.921,8.356,22.426,0.001,1021.799,10.78,0.928,96.827,12.303
2016-10-31 12:00:00+00:00,4.66,334.21,366.665,76.926,15.739,28.733,0,1018.407,11.173,1.076,93.695,12.361
2016-11-01 12:00:00+00:00,4.766,331.198,355.71,24.239,4.814,-5.087,0.008,1014.771,8.749,3.015,92.629,11.834
2016-11-02 12:00:00+00:00,4.785,260.19,333.815,85.971,18.945,-6.598,0.002,1014.399,4.697,3.367,84.33,10.738
2016-11-03 12:00:00+00:00,4.824,285.271,336.394,65.557,13.874,0.56,0,1011.612,5.011,2.471,82.026,9.685
2016-11-04 12:00:00+00:00,4.942,332.548,348.9,33.063,7.116,9.595,0.082,1000.181,7.321,2.359,89.892,9.624
2016-11-05 12:00:00+00:00,5.145,306.848,334.123,41.216,8.675,5.266,0.002,994.801,4.355,4.811,90.093,9.282
2016-11-06 12:00:00+00:00,5.065,282.527,332.354,62.283,13.797,-1.341,0.066,994.555,3.885,6.167,86.889,8.308
2016-11-07 12:00:00+00:00,5.148,267.608,337.39,71.47,15.553,-13.864,0.002,1001.029,5.449,5.844,82.234,8.169
2016-11-08 12:00:00+00:00,5.11,292.769,327.908,52.426,10.858,6.428,0,1000,2.375,2.755,91.959,7.688
2016-11-09 12:00:00+00:00,5.619,321.435,336.738,12.447,2.714,-5.569,0.196,990.811,4.407,3.61,94.492,7.603
2016-11-10 12:00:00+00:00,6.326,294.817,335.365,33.504,6.913,-13.957,0.005,996.939,4.745,3.523,91.073,7.371
2016-11-11 12:00:00+00:00,6.586,277.669,332.488,66.598,13.761,-1.982,0,1011.226,5.067,2.426,87.687,7.412
2016-11-12 12:00:00+00:00,7.395,335.821,344.919,15.791,3.157,3.536,0.085,1008.792,6.44,4.28,90.049,7.268
2016-11-13 12:00:00+00:00,9.806,323.667,345.375,46.311,9.479,15.124,0,1016.486,6.736,3.551,95.067,7.837
2016-11-14 12:00:00+00:00,10.53,352.09,356.185,24.899,4.504,16.299,0.039,1019.321,8.365,2.796,96.342,8.029
